1	2017-01-06	21	Arsenal (2017 film)
2	2017-01-13	23	The Bye Bye Man
3	2017-01-13	22	Monster Trucks (film)
4	2017-01-13	21	Alone in Berlin (film)
5	2017-01-20	5	The Big Sick
6	2017-01-20	17	Detour (2016 film)
7	2017-01-20	21	Trespass Against Us
8	2017-01-27	20	Resident Evil: The Final Chapter
9	2017-02-03	22	Rings (2017 film)
10	2017-02-03	0	The Space Between Us (film)
11	2017-02-03	18	Youth in Oregon
12	2017-02-10	4	John Wick: Chapter 2
13	2017-02-17	0	A Cure for Wellness
14	2017-02-17	19	American Fable
15	2017-02-24	6	Collide (film)
16	2017-03-03	18	Logan (film)
17	2017-03-03	3	Before I Fall (film)
18	2017-03-03	4	Table 19
19	2017-03-09	5	Sword Art Online The Movie: Ordinal Scale
20	2017-03-10	19	Kong: Skull Island
21	2017-03-10	21	Raw (film)
22	2017-03-11	18	Baby Driver
23	2017-03-17	22	The Belko Experiment
24	2017-03-24	2	Power Rangers (film)
25	2017-03-24	17	Life (2017 film)
26	2017-03-24	19	Wilson (2017 film)
27	2017-03-31	22	The Zookeeper's Wife (film)
28	2017-03-31	5	The Blackcoat's Daughter
29	2017-04-07	22	Going in Style (2017 film)
30	2017-04-07	21	Colossal (film)
31	2017-04-14	17	The Fate of the Furious
32	2017-04-14	21	The Outcasts (2017 film)
33	2017-04-14	5	Norman: The Moderate Rise and Tragic Fall of a New York Fixer
34	2017-04-14	23	A Quiet Passion
35	2017-04-14	18	Spark (2016 film)
36	2017-04-21	22	Unforgettable (2017 film)
37	2017-04-21	17	Free Fire
38	2017-04-21	16	The Promise (2016 film)
39	2017-04-21	0	Phoenix Forgotten
40	2017-04-28	17	Baahubali 2: The Conclusion
41	2017-05-05	5	The Dinner (2017 film)
42	2017-05-05	5	The Lovers (2017 film)
43	2017-05-12	23	King Arthur: Legend of the Sword
44	2017-05-12	16	The Wall (2017 film)
45	2017-05-18	15	Wonderstruck (film)
46	2017-05-19	22	Diary of a Wimpy Kid: The Long Haul (film)
47	2017-05-19	23	Everything, Everything (film)
48	2017-05-19	5	Wakefield (film)
49	2017-05-26	3	War Machine (film)
50	2017-06-02	21	Captain Underpants: The First Epic Movie
51	2017-06-02	15	Dean (film)
52	2017-06-09	5	It Comes at Night
53	2017-06-09	23	My Cousin Rachel (2017 film)
54	2017-06-09	16	Beatriz at Dinner
55	2017-06-14	3	The Book of Henry
56	2017-06-14	4	47 Meters Down
57	2017-06-23	5	The Bad Batch
58	2017-06-28	5	Okja
59	2017-06-30	16	The House (2017 film)
60	2017-06-30	14	Inconceivable (2017 film)
61	2017-06-30	21	2:22 (2017 film)
62	2017-07-14	2	Wish Upon
63	2017-07-14	21	Lady Macbeth (film)
64	2017-07-21	19	First Kill (2017 film)
65	2017-07-28	3	Atomic Blonde
66	2017-07-28	23	The Emoji Movie
67	2017-07-28	17	Brigsby Bear
68	2017-08-04	14	Columbus (2017 film)
69	2017-08-04	3	Kidnap (2017 film)
70	2017-08-11	3	The Glass Castle (2017 film)
71	2017-08-11	20	Good Time (film)
72	2017-08-11	2	The Nut Job 2: Nutty by Nature
73	2017-08-18	21	Logan Lucky
74	2017-08-25	21	Ballerina (2016 film)
75	2017-08-25	22	Beach Rats
76	2017-08-30	16	Downsizing (film)
77	2017-09-01	21	Tulip Fever
78	2017-09-04	19	Three Billboards Outside Ebbing, Missouri
79	2017-09-08	22	I, Tonya
80	2017-09-08	19	Molly's Game
81	2017-09-08	20	The Good Catholic
82	2017-09-08	20	Gun Shy (2017 film)
83	2017-09-15	19	American Assassin
84	2017-09-15	16	Mother!
85	2017-09-22	21	Stronger (film)
86	2017-09-22	22	Victoria & Abdul
87	2017-09-22	21	Woodshock
88	2017-09-26	2	Jeepers Creepers 3
89	2017-09-29	5	Flatliners (2017 film)
90	2017-09-29	5	Mark Felt: The Man Who Brought Down the White House
91	2017-10-06	22	The Mountain Between Us (film)
92	2017-10-06	18	The Florida Project
93	2017-10-13	3	Happy Death Day
94	2017-10-13	21	The Foreigner (2017 film)
95	2017-10-17	18	Wonder Wheel (film)
96	2017-10-20	0	Boo 2! A Madea Halloween
97	2017-10-20	23	Geostorm
98	2017-10-20	18	The Snowman (2017 film)
99	2017-10-20	1	Leatherface (2017 film)
100	2017-10-20	16	Same Kind of Different as Me (film)
101	2017-10-27	21	Jigsaw (2017 film)
102	2017-11-02	23	Murder on the Orient Express (2017 film)
103	2017-11-05	21	Pokémon the Movie: I Choose You!
104	2017-11-10	5	Mayhem (film)
105	2017-12-01	4	Slumber (film)
106	2017-12-08	20	Just Getting Started (film)
107	2017-12-15	21	Beyond Skyline
108	2017-12-22	4	Bright (film)
109	2018-01-05	6	Insidious: The Last Key
110	2018-01-05	20	The Strange Ones
111	2018-01-05	20	Stratton (film)
112	2018-01-12	22	The Commuter (film)
113	2018-01-12	0	Proud Mary (film)
114	2018-01-12	15	Acts of Violence
115	2018-01-18	4	Mary and the Witch's Flower
116	2018-01-19	20	Den of Thieves (film)
117	2018-01-19	3	Forever My Girl
118	2018-02-02	0	Winchester (film)
119	2018-02-04	6	The Cloverfield Paradox
120	2018-02-09	3	The 15:17 to Paris
121	2018-02-09	20	Permission (film)
122	2018-02-09	20	Monster Family
123	2018-02-09	18	Golden Exits
124	2018-02-16	23	Loveless (film)
125	2018-02-23	18	Annihilation (film)
126	2018-02-23	22	Every Day (2018 film)
127	2018-03-02	21	Red Sparrow
128	2018-03-02	2	Death Wish (2018 film)
129	2018-03-02	21	Foxtrot (2017 film)
130	2018-03-09	18	Gringo (2018 film)
131	2018-03-09	3	Thoroughbreds (2017 film)
132	2018-03-09	6	The Leisure Seeker
133	2018-03-09	3	The Strangers: Prey at Night
134	2018-03-09	18	The Hurricane Heist
135	2018-03-23	17	Pacific Rim: Uprising
136	2018-03-23	23	Isle of Dogs (film)
137	2018-03-23	21	Unsane
138	2018-03-23	3	Midnight Sun (2018 film)
139	2018-03-30	17	Gemini (2017 film)
140	2018-04-06	2	Blockers (film)
141	2018-04-06	21	Chappaquiddick (film)
142	2018-04-06	19	Lean on Pete
143	2018-04-06	2	The Miracle Season
144	2018-04-13	21	Rampage (2018 film)
145	2018-04-13	22	Truth or Dare (2018 film)
146	2018-04-13	18	Sgt. Stubby: An American Hero
147	2018-04-20	18	I Feel Pretty (film)
148	2018-04-20	3	Super Troopers 2
149	2018-04-27	17	Avengers: Infinity War
150	2018-04-27	16	Disobedience (2017 film)
151	2018-04-27	21	Kings (2017 film)
152	2018-05-04	16	Tully (2018 film)
153	2018-05-04	15	Bad Samaritan (film)
154	2018-05-04	19	The Cleanse
155	2018-05-11	18	Life of the Party (2018 film)
156	2018-05-11	13	The Seagull (2018 film)
157	2018-05-11	16	Terminal (2018 film)
158	2018-05-11	21	Revenge (2017 film)
159	2018-05-18	17	Deadpool 2
160	2018-05-18	22	Book Club (film)
161	2018-05-25	22	How to Talk to Girls at Parties (film)
162	2018-05-25	18	Future World (film)
163	2018-06-01	18	Upgrade (film)
164	2018-06-01	19	American Animals
165	2018-06-08	21	Hereditary (film)
166	2018-06-15	18	Tag (2018 film)
167	2018-06-22	23	Boundaries (2018 film)
168	2018-06-22	5	Damsel (2018 film)
169	2018-06-29	17	Sicario: Day of the Soldado
170	2018-06-29	22	Leave No Trace (film)
171	2018-06-29	20	Uncle Drew
172	2018-07-04	23	The First Purge
173	2018-07-06	17	Ant-Man and the Wasp
174	2018-07-06	21	Whitney (2018 film)
175	2018-07-13	18	Skyscraper (2018 film)
176	2018-07-13	23	Eighth Grade (film)
177	2018-07-20	22	Mamma Mia! Here We Go Again
178	2018-07-20	4	Blindspotting
179	2018-07-20	4	Unfriended: Dark Web
180	2018-07-20	16	Bleach (2018 film)
181	2018-07-27	17	Teen Titans Go! To the Movies
182	2018-07-27	17	Detective Dee: The Four Heavenly Kings
183	2018-07-27	16	Hot Summer Nights (film)
184	2018-07-27	14	Puzzle (2018 film)
185	2018-08-03	18	Christopher Robin (film)
186	2018-08-03	3	The Darkest Minds
187	2018-08-03	16	The Spy Who Dumped Me
188	2018-08-03	5	The Miseducation of Cameron Post (film)
189	2018-08-03	16	Never Goin' Back
190	2018-08-08	22	Dog Days (2018 film)
191	2018-08-10	20	BlacKkKlansman
192	2018-08-10	3	Slender Man (film)
193	2018-08-17	18	Mile 22
194	2018-08-17	17	Down a Dark Hall (film)
195	2018-08-24	21	The Happytime Murders
196	2018-08-31	2	Kin (film)
197	2018-08-31	15	The Little Stranger (film)
198	2018-09-07	17	The Nun (2018 film)
199	2018-09-07	17	Peppermint (2018 film)
200	2018-09-14	18	The Predator (film)
201	2018-09-14	3	A Simple Favor (film)
202	2018-09-14	0	Unbroken: Path to Redemption
203	2018-09-21	23	The Sisters Brothers (film)
204	2018-09-21	17	Assassination Nation
205	2018-09-21	20	Colette (2018 film)
206	2018-09-28	2	Smallfoot (film)
207	2018-09-28	5	Hell Fest
208	2018-10-10	18	The Happy Prince (2018 film)
209	2018-10-12	22	Bad Times at the El Royale
210	2018-10-12	4	Beautiful Boy (2018 film)
211	2018-10-19	4	Halloween (2018 film)
212	2018-11-02	16	The Nutcracker and the Four Realms
213	2018-11-02	17	Bodied
214	2018-11-06	1	The Front Runner (film)
215	2018-11-09	22	The Grinch (film)
216	2018-11-09	2	The Girl in the Spider's Web (film)
217	2018-11-09	22	Overlord (2018 film)
218	2018-11-16	17	Fantastic Beasts: The Crimes of Grindelwald
219	2018-11-16	0	Widows (2018 film)
220	2018-11-21	2	Creed II
221	2018-11-21	20	Roma (2018 film)
222	2018-11-24	21	Pokémon the Movie: The Power of Us
223	2018-11-29	17	2.0 (film)
224	2018-11-30	5	The Possession of Hannah Grace
225	2018-11-30	14	Anna and the Apocalypse
226	2018-12-07	6	Ben Is Back
227	2018-12-14	6	Spider-Man: Into the Spider-Verse
228	2018-12-21	19	Second Act (film)
229	2018-12-25	2	Vice (2018 film)
